CONTENT;TYPE_HOTLINE;class
Здравствуйте! Я не прошел по баллам на очное обучение. Сдавал егэ по русскому языку, истории, обществознанию. Разрешите мне сдать вступительные испытания по математике и физике? Пожалуйста дайте шанс. Если учиться заочно, то меня заберут в армию.;2;5
Здравствуйте! Какова вероятность, что  можно будет перевестись на первом или втором курсе? Часто ли такое происходит, большая ли вероятность появления бюджетных мест для перевода на пед образование (с двумя профилями подготовки. Немецкий язык. Английский язык.) на #-# курсе? Также интересуюсь, где можно получить информацию о появлении мест на на иняз пед образовании (с двумя профилями подготовки) для перевода. Заранее спасибо! Руслан ;2;6
Здравствуйте! Можно узнать, как записаться на вступительные испытания на дополнительный набор в этом году? Арина;2;5
Здравствуйте! Я подавала заявления на бюджет на три направления института, по конкурсу не прошла, подскажите пожалуйста как подать заявление на платное образование в тот же институт в этом году? Через личный кабинет не получается С уважнием, Ульяна;2;1
Здравствуйте!  Я зачислен в птргу и другой вуз на договор. Я выбрал другой вуз. Что делать? Как отозвать соглашение?;2;1
Здравствуйте! как подать заявку на участие в дополнительных вступительных испытаниях на дополнительные места??;2;5
Здравствуйте! Узнала ,что у вас есть места в физико-техническом институте,хотела поинтересоваться на какие специальности ? И за счёт бюджета ?;2;1
Здравствуйте! Может ли перевестись на другую специальность если баллами она не прошла инженерная информатика?;2;6
Здравствуйте!Подскажите пожалуйста, поступили на платное, где можно узнать дадут ли место в общежитии??? И когда можно приехать на заселение?? Заранее благодарна.;2;4
"Здравствуйте! Как можно перевестись на свободные места на бюджет после зачисления.  На данный момент зачислен на Технологические машины и оборудование. Хотел бы перевестись на горное дело.

Спасибо!";2;6
Здравствуйте! Я попала на Филологию, так как она стояла в приоритете #, хочу перевестись на лингвистику, это возможно сделать? По баллам я там проходила. Ольга;2;6
Здравствуйте! Объявили дополнительный набор на бюджетные места. Если уже зачислен в студенты на одно направление,  можно ли перейти  на другое, где есть дополнительные места? Спасибо. С уважнием, Алёна Алексеевна.;2;6
Здравствуйте!Какие предметы егэ нужно сдать для поступления на журналистику;2;5
Здравствуйте! Можно ли перевестись на другую кафедру? бакалавриат, бюджет, очное) Меня все время просят обратиться к дирекции университета. В дирекцию нужно прийти или можно написать письмо на почтовый ящик? Заранее спасибо.;1;6
Здравствуйте!Подскажите пожалуйста, куда отправлять все документы необходимые для заселения в общежитие? С уважнием, Кирилл ;2;4
Здравствуйте! Подскажите пожалуйста, как зарегистрироваться в личном кабинете студента, если там нужен студенческий билет или зачётка? Где получить данные для входа?;2;8
Здравствуйте! Можете сообщить на почту о факультетах, где недобор? С уважнием, Обломова Юлия.;2;1
Здравствуйте! Я не прошла на бюджетное место в «Медицинский Институт», что сделать, чтобы попасть на платное? С уважнием, Антон .;2;1
Здравствуйте! Как подать заявление на платное?;2;1
Здравствуйте! Я переписала согласие на зачисление (изменила на платное обучение). Теперь я попаду в список платников? Лев .;2;1
Здравствуйте! Не прошел на бюджет. Как подать заявление на платное обучение?;2;1
Здравствуйте! Я подавала заявление на бюджет, но не прошла основной конкурс. Как мне можно сейчас подать заявление на платное обучение?;2;1
Здравствуйте, могу ли еще подать документы на платное если до этого подал на бюджет(на тот же факультет? Просто пару дней назад мне сказали что так можно сделать ## числа(сегодня), но на сайте нет возможности подать заявление. Подскажите пожалуйста что мне делать в данной ситуации. С уважнием, Волкова Александра;2;1
Здравствуйте! Как подать документы на общежитие через личный кабинет после приказов о зачислении, после заполнения анкеты в личном кабинете, просто там уже нельзя ничего редактировать С уважнием, Никита ;2;4
Здравствуйте! Подскажите пожалуйста можно ли перевестись с вашего университета в СПб, на тотоже факультет ? Закончил первый курс математики и информатики. Егоров Кирилл Вольфович.;1;6
Здравствуйте!если поступать по результат ЕГЭ ## класса(база русский и математика),на электроэнергетику/электротехнику ,нужно ли сдать ЕГЭ или только вступительный экзамен? Юлия.;2;5
"Здравствуйте!

Возможна ли подача заявления о вселении в общежитие через электронную почту? Или только через  личный кабинет абитуриента?";2;4
Здравствуйте! Вопрос следующий по поступлению в магистратуру. Подавал заявление на зачисление на бюджет по направлению Юриспруденция Уголовное право,процесс .. По конкурсу на бюджет не прошел. Смотрю по приказам о зачислении всего  человек на данное направление зачислено а мест ## платных и # бюджетных. Есть ли такой вариант поступить платно на данное направление или все сроки пропущены? С уважнием, Ольга.;2;1
"Здравствуйте! Куда документы отправлять на заявление о вселение в общежитие и прикрепление к больнице? А также что писать в заявление о прикреплении к поликлинике, где написано ""Находится на обслеживание..""- поликлинику, в которой я числюсь получается? С уважнием, Тимур .";2;4
Здравствуйте! Скажите, пожалуйста, что должно быть написано в медицинской справке ###/у в пункте #? Законченное учебное заведение или ваш ВУЗ?;2;1
Здравствуйте! Чтобы зарегистрироваться в личном кабинете учащегося необходимо обратиться в деканат с зачетной книжкой или с студенческим билетом. Но в этом году заселение в общежитие возможно только через этот самый личный кабинет. Нигде нет информации как и что делать.;2;8
Здравствуйте! Подскажите пожалуйста что делать после зачисления? Куда, когда и какие документы приносить и что делать с общежитием? Написано, что заселение через личный кабинет, но я не вижу там такого раздела. Объясните пожалуйста;2;4
Здравствуйте! Мы отправили # согласия по разным направлениям на платное обучение это можно было делать или одно согласие надо отозвать? Если мы хотим только в ваш ВУЗ. Спасибо! Назарова Валерия;2;1
"Здравствуйте! Не прошёл на бюджет в первой волне по направлению  Менеджмент. Профиль: ""Финансовый менеджмент"". Правильно ли я понял, что осталось  места на бюджет? Есть ли шанс попасть во вторую волну? Документы были поданы только на данное направление. Ярослав Игоревич.";2;1
Здравствуйте! Подскажите, пожалуйста, в справке ###/у пункты # и # должны быть заполнены или нет?;2;1
Здравствуйте!  Могу ли я подать документы на направление Биология? Поступала  в университет Санкт-Петербурга, не хватило баллов. Мои результаты - биология, русский язык , профильная математика ;2;2
Здравствуйте! Скажите, есть ли возможность на данный момент подать документы на заочное (при наличии вакантных мест) если уже зачислили на очное? Белов Евгений .;1;1
Здравствуйте!  Скажите,пожалуйста,можно ли подать два согласия на платное обучение а два университета? Юлия.;2;1
Здравствуйте! Изначально не стала пытаться попасть на направление биология, но сейчас смотрю, что по спискам возможен недобор, скажите можно будет перевестись?;2;6
Здравствуйте! Подскажите как можно зарегистрироваться в личном кабинете студента, необходимо при заселении в общежитие? Спасибо. Безрукова Ольга;1;8
Здравствуйте! Поступила на # курс, необходимо место в общежитии и возник вопрос, каким образом нужно зарегистрироваться в Личном кабинете обучающегося, чтобы загрузить туда скан копии документов для получения места в общежитии? С уважнием, Вероника.;2;8
Здравствуйте!Если не нужно размещать документы в личном кабинете студента для заселения в общежитие,то куда вообще подавать их?;2;4
Здравствуйте! Так как заселение студентов в этом году осуществляется в автоматическом режиме через  Личный кабинет  студента, объясните пожалуйста каким образом зарегистрироваться в личном кабинете студента? Зачислена в ваш вуз на # курс.;2;8
Здравствуйте! Могу ли я подать заявление на платную основу, если я не прошла на бюджет?;2;1
Здравствуйте! Подскажите будет ли информация на сайте как заселяться в общежитие через личный кабинет? С уважнием, Екатерина.;2;4
Здравствуйте! Как зарегистрироваться в личном кабинете студента? Нужно для заселения в общежитие!;1;8
Здравствуйте! Как отказаться от зачисления?;2;1
Здравствуйте! Когда обращаюсь по почте, мне никто не отвечает, хочу повторно обратиться по вопросу зачисления по недобору,  рассмотрите и ответьте мне, пожалуйста, нужно ли мне какие-то документы подавать дополнительно, на сколько я знаю, на это всего один день - сегодня, очень волнуемся;2;1
Здравствуйте!Скажите пожалуйста, когда вновь поступившим ( первокурсникам) нужно принести оригинал аттестата? # сентября или можно позже? Спасибо! Владислав ;2;1
Здравствуйте! Подскажите, пожалуйста, если я отправила договор о согласии на очное обучение на платной основе ## августа после ##:##, то он рассматриваться не будет? Спасибо.;2;1
Здравствуйте! Подавал вам раньше заявления о согласии на поступление, но теперь возникли определенные обстоятельства и теперь мне надо их отзвать, но, как я видел, данная функция была доступна в личном кабинете, но теперь ее нету. Как я могу теперь отозвать заявления о согласии? Михаил ;2;1
Здравствуйте! Подскажите пожалуйста, каким образом можно отказаться от зачисления? Безрукова Вероника Виталиевна.;2;1
Здравствуйте! Документы на поступление отослал еще в начале августа, но не увидел, что надо отправлять согласие. В итоге пропустил первую волну. Вчера направил согласие на приоритетный факультет, но увидел, что заявлений на него подано много. Могу ли я направить согласие еще на # других факультета? С уважнием, Мария;2;1
Здравствуйте!Я поступил на бюджет, но в  списках ещё висит мое заявление на платное обучение с согласием, как его можно убрать и нужно ли?;2;1
Здравствуйте! Как отозвать согласие на зачисление,  специальность: лечебное дело.;2;1
"Здравствуйте! 

Подскажите, пожалуйста, чтобы заселиться в общежитие нужно заполнить заявление, отправить его на почту хозяйственного управления, и потом просто приехать в то общежитие, которым располагает институт с остальными документами, и все? То есть присутствовать на приёмной комиссии не нужно и регистрироваться в личном кабинете студента тоже не нужно?";2;4
"Здравствуйте!

если абитуриент не успел подать заявление на поступление до  августа и не попал в списки поступающих по программе бакалавриата на очное обучение по результатам ЕГЭ, может ли он подать заявление позже при наличии свободных мест на какие-либо специальности.  Зайцев Сергей ";2;1
Здравствуйте!  Подскажите, пожалуйста, для зачисления на платное обучение надо направить заполненный со своей стороны бланк договора? какова форма заявления на платное обучение? где её взять? куда направлять документы?;2;1
Доброго дня! Хотелось бы узнать, как можно отозвать согласие на зачисление? Ольга.;2;1
Здравствуйте! поступил по # приоритету, могу ли я попасть во # волну по #, что нужно сделать;2;1
"Здравствуйте!

 Имеется диплом с отличием. В индивидуальные достижения скинула скан диплома и приложения, но # баллов не отображаются. Могли бы Вы исправить данную ситуацию.Спасибо! С уважнием, Каменских Алина";2;8
Здравствуйте! Возможно ли подать документы для общежития по электронной почте? Или же все-таки только через личный кабинет?;2;4
Здравствуйте! А на платное обучение можно ещё документы подать ?;2;1
"Здравствуйте. Мне предложили пойти на ""Русский язык как иностранный"" и сообщили, что я могу подать заявление ещё до # сентября, однако функция подачи уже отключена. Что делать? С уважнием, Мария";2;1
Здравствуйте! Сколько бюджетных мест осталось во # волну по направлению история России?;2;1
"Здравствуйте! 

Возможно ли отказаться от поступления в первой волне на одном направлении, чтобы пройти во второй на другом?";2;1
Здравствуйте! Можно ли самостоятельно выбрать номер общежития и тип комнаты при заселении? Это прописывается где-то? Руслан .;2;4
Здравствуйте! Осуществляет ли ВУЗ подгтовку кандидатов технических наук? Трофимов Олег.;1;7
Здравствуйте! можно еще отказаться от согласия на зачисления на # и # приоритеты в первой волне, переписать эти заявления на вторую волну с целью поучаствовать и в первой , и во второй волне по # приоритету. С уважнием, Георгий ;2;1
"Здравствуйте!  Скажите пожалуйста, имеется ли возможность подать документы на платное обучение в магистратуру. Если да, то отправить требуемые документы на заявленную почту? Или позже появится возможность оформить заявление через кабинет абитуриента? 

Заранее благодарю. 

С уважением.";2;1
Здравствуйте! Для заселения в общежитие нужно зарегистрироваться в личный кабинет студента, но как это сделать? Ведь для этого нужно получить студенческий билет. С уважнием, Виноградов Егор .;2;4
"Здравствуйте!

Хотела бы в следующем году поступить на психолога. Подскажите, пожалуйста, есть ли ограничения по возрасту и есть ли вечернее отделение?";2;1
"Здравствуйте!

Здравствуйте. Я пыталась завести личный кабинет, но не получается. Нажимаю на слово «зарегестрироваться» и у меня просто перезагружается страница. Пробовала и с телефона, и с ноутбука. Проблема в сайте? Есть другой способ завести личный кабинет? С уважнием, Карина.";2;8
Здравствуйте! Когда нужно заполнить заявление на общежитие и куда его отправлять? Как понять, что я попадаю в общежитие если я подаю на платное?;2;4
Здравствуйте! Я мама. Если мы отправили согласие в ## часов, то они будут приняты ? В списках ещё информации нет.;2;1
Здравствуйте! Прочитал, что подать согласие можно на первую волну сегодня до ##:##, а до какого момента можно отозвать согласия? и такой вопрос, прочел про свободную форму при отзыве: достаточно просто в электронном письме написать или от руки с подписями и датой? Спасибо!;2;1
Здравствуйте! А можно написать два согласия. Или пишется только одно согласие. Так как сложно понять куда я прохожу, а куда нет.;2;1
Здравствуйте! Будет ли увеличение бюджетных мест на направлениях Педиатрия и Лечебное Дело за счет мест, не заполненных по квоте?;2;1
Здравствуйте!Очень хочу учиться.Подала заявку на специальность «Социальная работа».Сейчас я в списке.Передо мной более ## человек дали согласие на зачисление,но бюджетных мест всего ##.У меня есть шанс на зачисление на бюджет?Как комиссия будет отбирать абитуриентов?По баллам или просто на выбор?;2;2
"Здравствуйте!

Я поступила в ИФКСиТ и хотелось бы узнать. До какого числа можно подавать заявление на предоставления общежития и к=по какому адресу нужно приходить, чтобы отнести справку о прохождении комиссии?)";2;4
"Здравствуйте!Можно ли отправить ещё согласие?Произошли неполадки с интернетом, сообщение не отправилось
";2;1
Здравствуйте! На прямом эфире было сказано о том, что если все целевые и места по квотам не заполняются, то они переходят к бюджетным местам. В первую волну идет зачисление уже с этими местами вместе? Например, педагогическое физкультура. Было всего ## бюдж, в #ой волне проходит ## человек. А если вместе с дополнительными местами ( оставшиеся от целевого) , их #. То получается ## бюд.место, и в первую волну проходят ## человек ? Правильно ли я понимаю?;2;1
Здравствуйте! Согласие на зачисление можно подать одновременно на три направления? (Бакалавриат);2;1
Здравствуйте, как я могу отозвать согласие с педиатрии?;2;1
Здравствуйте! Уже поздно подавать заявку на обучение заочно? Ребенок наотрез отказывается учиться очно, хотя были хорошие шансы поступить на бюджет С уважнием, Белов Григорий .;2;1
"Здравствуйте! Хочу задать вопрос, который меня и я думаю многих волнует в этом году. Как отследить проходит по конкурсу абитуриент или нет? По первому приоритету? По поданному заявлению о согласии на зачисление? Если будущий студент не в начале списка по баллам, как понять поступит или нет? Вроде все сделано для того, чтобы списки были ""прозрачны"", вывешены персональные данные абитуриентов, их баллы..., а  отследить практически невозможно.";2;2
Здравствуйте!Подскажите пожалуйста можно менять ещё приоритет или уже нельзя?Почему не могу зайти в личный кабинет?;2;1
Здравствуйте! Как отозвать согласие на зачисление из одного факультета для подачи в другой;2;1
"Здравствуйте!

Есть вероятность поступления на бюджет, если мои прохладные баллы меньше, чем, например, проходные баллы прошлых лет?

Стоит ли в таком случае вообще подавать согласие? Если вероятность попасть на бюджет будет мала";2;2
Здравствуйте! Если меня нет в проверочных списках абитуриентов, а согласие на зачисление я подавал, и мои заявления приняты, то не будет нарушением, если я подам теперь  согласие в другое заведение? я правильно понимаю?;2;1
Здравствуйте! Какого числа мы должны отозвать заявление о согласии и перенаправить на другое направление, если не зачислены будем в первую волну и как это правильно сделать? С уважнием, Семенов Николай ;2;1
Здравствуйте! Ягражданин РФ . Я приехал и тут начинался карантин а я тут остался и я здесь закончил ## класс и получил аттестат. Теперь скажите как мне подать док в вашем университете. ..? Воробьев Павел .;2;1
Здравствуйте! Скажите пожалуйста, согласие на зачисление можно подать в один вуз, на все # заявленные в заявлении направления. Или  необходимо выбрать одно. В списках у  поступающих указаны согласия на все # направления. И до какого времени, согласие нужно отозвать. Валерия;2;1
Здравствуйте! Я не могу попасть в личный кабинет абитуриента, при попытке входа пишет профиль не зарегистрирован, хотя до этого я уже входил и подтверждал регистрацию на почте.;2;8
"Здравствуйте!

У меня есть несколько вопросов на тему приема заявлений о согласии на зачисление. По спискам я могу попасть только на социологию. Даже не факт, что получается пробиться на бюджет. Могу ли я дать согласие и на бюджет, и на платную основу? (другими слова - есть ли какой-то пределе данным согласиям?). . Когда вообще появится ясность на тему того, какие шансы у меня поступить?

Заранее спасибо за ответ и понимание. Вероника";2;1
"Здравствуйте!

Я отчислилась около года назад по собственному желанию из института. Сейчас я хотела бы восстановиться, но из-за корона-вируса не понятно как именно теперь нужно это делать. 

Необходимо отослать заявление на е-мейл или лично посетить дирекцию? 

Спасибо!";1;1
Здравствуйте! Для заселения в общежитие достаточно справки ### - у  с печатью о флюорографии или нужно брать дополнительную справку??;2;4
Здравствуйте! Если подавать все # заявления о согласии на все приоритеты, может выйти так, что вдруг возьмут на # направления, например? И если такое возможно, то что в таком случае делать? Заранее Спасибо.;2;1
Здравствуйте! Какое заявление мне нужно заполнить для заселения в общежитие? Его нужно заполнять заранее или уже после зачисления? В какие сроки нужно это сделать, если я подаю на платное?;2;4
Здравствуйте!До какого числа я могу отправить заявление на предоставление места в общежитии и куда его отправлять?Спасибо.;2;1
"Здравствуйте! Есть ли какое-то ограничение по количеству договорных мест на факультет зарубежной филологии (Финский\английский) или Шведский\английский)?

#) Когда будет приказ о зачислении платников?";2;1
"Здравствуйте! Если в списках поступающих стоит статус ""не сдал экзамен"" это значит, что я не прохожу в университет?";2;1
Здравствуйте!  До какого часа можно подать заявление о согласии ## август и ## августа? Спасибо. Георгий ;2;1
Здравствуйте! У меня два целевых направления в Институт истории, политологии и социальных наук. В списках я в конце. Каковы мои шансы поступить? Когда происходит конкурс по целевым направлениям?  С уважнием, Ксения;2;2
