Субъект федерации	Стоимость турпакетов	Среднедушевой доход	Расстояние до Москвы	Географическая широта	Численность населения	Федеральный округ
Магаданская область	243462,50	30452,10	9968,00	54,00	156996,00	ДВФО
г.Москва	59270416,50	47318,90	0,00	75,00	11503501,00	ЦФО
Московская область	2928534,30	25604,50	122,00	54,00	7095120,00	ЦФО
Мурманская область	743707,50	25303,50	1907,00	63,00	795409,00	СЗФО
Новгородская область	409195,40	16980,90	489,00	49,00	634111,00	СЗФО
Приморский край	2536100,30	19159,70	8850,00	61,00	1956497,00	ДВФО
Новосибирская обл...	7639091,90	18244,10	3142,00	59,00	2665911,00	СФО
Омская область	2102552,50	17247,90	2667,00	67,00	1977665,00	СФО
Оренбургская область	916931,30	14892,00	1333,00	53,00	2033072,00	ПФО
Орловская область	450535,20	14824,30	411,00	57,00	786935,00	ЦФО
Пензенская область	528751,80	14171,50	605,00	73,00	1386186,00	ПФО
Пермский край	2310361,90	21307,30	1427,00	53,00	2635276,00	ПФО
Псковская область	364335,40	14185,30	636,00	64,00	673423,00	ЮФО
Ростовская область	4229260,20	16010,30	1102,00	68,00	4277976,00	ПФО
Рязанская область	484258,70	14788,00	297,00	75,00	1154114,00	ЦФО
Саратовская область	1371458,70	13097,30	928,00	49,00	2521892,00	ПФО
Сахалинская область	662857,10	32268,20	9599,00	49,00	497973,00	ДВФО
Свердловская область	7845564,60	24892,60	1966,00	64,00	4297747,00	УФО
Смоленская область	421201,10	15969,10	400,00	58,00	985537,00	ЦФО
Тамбовская область	229728,60	15150,60	498,00	49,00	1091994,00	ЦФО
Томская область	1918399,30	16516,00	3324,00	57,00	1047394,00	СФО
Ставропольский край	1548289,00	14439,90	1556,00	54,00	2786281,00	СКФО
Тульская область	686526,60	16975,00	184,00	73,00	1553925,00	ЦФО
Тюменская область	3971317,30	30705,80	2291,00	56,00	3395755,00	УФО
Ханты-Мансийский ...	1885411,60	33926,00	2587,00	69,00	1532243,00	УФО
Ямало-Ненецкий ав...	85312,10	46784,50	3520,00	55,00	522904,00	УФО
Ульяновская область	721888,00	14312,10	874,00	61,00	1292799,00	ПФО
Челябинская область	3107153,70	18459,90	1738,00	48,00	3476217,00	УФО
Забайкальский край	725946,90	15968,80	6561,00	55,00	1107107,00	ДВФО
Ярославская область	501223,60	15508,90	266,00	65,00	1272468,00	ЦФО
Республика Адыгея	108937,80	14271,60	1432,00	61,00	439996,00	ЮФО
Хабаровский край	2295117,90	23766,20	8364,00	71,00	1343869,00	ДВФО
Республика Башкор...	2234813,70	19029,80	1355,00	56,00	4072292,00	ПФО
Республика Бурятия	317577,00	15715,50	6221,00	62,00	972021,00	СФО
Республика Дагестан	21488,90	18278,10	1942,00	61,00	2910249,00	СКФО
Кабардино-Балкарс...	21602,30	12636,20	1663,00	75,00	859939,00	СКФО
Республика Алтай	105942,70	13836,90	4080,00	55,00	206168,00	СФО
Республика Калмыкия	47027,50	8829,40	1355,00	58,00	289481,00	ЮФО
Республика Карелия	384326,20	17542,70	1327,00	71,00	643548,00	СЗФО
Республика Коми	1618371,80	23924,90	1622,00	45,00	901189,00	СЗФО
Республика Марий Эл	356920,90	11328,40	783,00	46,00	696459,00	ПФО
Республика Мордовия	510624,60	11948,00	594,00	51,00	834755,00	ПФО
Республика Северн...	106941,00	13757,00	1757,00	67,00	712980,00	СКФО
Карачаево-Черкесс...	32013,00	11741,60	1557,00	66,00	477859,00	СКФО
Республика Татарстан	5560564,20	20222,60	969,00	56,00	3786488,00	ПФО
Республика Тыва	39086,70	10962,80	4624,00	59,00	307930,00	СФО
Удмуртская Респуб...	760217,80	14452,30	1155,00	50,00	1521420,00	ПФО
Республика Хакасия	228888,60	14222,80	4384,00	66,00	532403,00	СФО
Чеченская Республика	20058,60	14026,50	1857,00	53,00	1268989,00	СКФО
Чувашская Республика	719566,90	12083,00	691,00	68,00	1251619,00	ПФО
Республика Саха (...	647063,80	25616,90	6984,00	63,00	958528,00	ДВФО
Еврейская автоном...	95164,40	16525,30	8244,00	68,00	176558,00	ДВФО
